2021-07-30 07:52:37.2065 | 程序开启 
2021-07-30 07:52:54.1540 | 查询工单开立  选择日期:20210730 
2021-07-30 07:54:33.0530 | 查询工单报工  选择日期:20210729 
2021-07-30 07:54:36.7255 | 查询工单报工  选择日期:20210728 
2021-07-30 07:54:58.0562 | 查询工单报工  选择日期:20210727 
2021-07-30 13:47:37.4282 | 程序开启 
2021-07-30 13:47:54.7877 | 登入人员:向　杰 
2021-07-30 13:48:15.5092 | 登入人员:廖恩志 
2021-07-30 13:48:33.2881 | 登入人员:廖恩志 
2021-07-30 13:48:36.3784 | 人员登出: 
2021-07-30 13:49:11.3981 | 登入人员:张晓娇 
2021-07-30 14:34:53.5971 | 程序开启 
2021-07-30 14:35:03.4631 | 登入人员:廖恩志 
2021-07-30 14:35:05.8855 | 开启报工数据比对 
2021-07-30 14:35:11.3312 | 查询报工数据比对 笔数:6720210723 
2021-07-30 20:01:57.9639 | 程序开启 
2021-07-30 20:02:05.7309 | 查询工单开立  选择日期:20210731 
2021-07-30 20:02:12.8759 | 查询工单开立  选择日期:20210801 
2021-07-30 20:02:27.8009 | 登入人员:廖恩志 
2021-07-30 20:02:36.7448 | 更新SAP工单开立状态  选择日期:20210801 
2021-07-30 20:02:44.2098 | 查询工单开立  选择日期:20210802 
2021-07-30 20:03:12.1750 | 查询工单开立  选择日期:20210801 
