2021-08-05 10:28:14.9004 | 程序开启 
2021-08-05 10:28:24.1435 | 查询工单开立  选择日期:20210805 
2021-08-05 10:31:31.9632 | 查询工单报工  选择日期:20210805 
2021-08-05 10:31:35.1645 | 查询工单报工  选择日期:20210804 
2021-08-05 10:31:38.4219 | 查询工单报工  选择日期:20210803 
2021-08-05 10:31:46.0977 | 查询工单报工  选择日期:20210802 
2021-08-05 16:30:35.8359 | 程序开启 
2021-08-05 16:31:19.5198 | 查询工单开立  选择日期:20210805 
2021-08-05 16:31:26.8173 | 查询工单开立  选择日期:20210806 
2021-08-05 16:31:30.4138 | 查询工单开立  选择日期:20210805 
2021-08-05 16:41:36.8152 | 程序开启 
2021-08-05 16:41:39.2974 | 查询工单开立  选择日期:20210805 
2021-08-05 16:45:50.7185 | 查询工单开立  选择日期:20210805 
2021-08-05 16:46:01.5911 | 登入人员:廖恩志 
2021-08-05 16:47:24.6086 | 更新SAP工单开立状态  选择日期:20210805 
